f,n_contexts,N1_types,cont_types,M,S_eff
590,8,1345,1911,0.284958,238.875
591,8,803,1196,0.169839,149.5
592,4,345,532,0.145693,133.0
593,5,807,1184,0.272175,236.8
594,11,918,1517,0.140496,137.9091
595,6,434,665,0.121569,110.8333
596,4,502,754,0.21057,188.5
597,8,446,715,0.093384,89.375
598,7,778,1126,0.185858,160.8571
599,6,930,1394,0.258765,232.3333
600,7,905,1389,0.215476,198.4286
601,7,973,1449,0.231281,207.0
602,3,420,655,0.232558,218.3333
603,5,438,704,0.145274,140.8
604,4,681,1035,0.281871,258.75
605,7,695,1054,0.164109,150.5714
606,8,1014,1491,0.209158,186.375
607,4,650,1011,0.26771,252.75
608,5,568,858,0.186842,171.6
609,6,1135,1574,0.310619,262.3333
610,6,557,834,0.152186,139.0
611,3,518,735,0.282597,245.0
612,5,463,752,0.151307,150.4
613,1,68,122,0.11093,122.0
614,5,304,476,0.099023,95.2
615,5,880,1231,0.286179,246.2
616,4,340,551,0.137987,137.75
617,4,302,488,0.122366,122.0
618,6,187,341,0.050431,56.8333
619,2,328,480,0.264943,240.0
620,5,636,891,0.205161,178.2
621,5,729,1056,0.234783,211.2
622,7,883,1400,0.202802,200.0
623,6,1041,1542,0.278491,257.0
624,8,1263,1754,0.253005,219.25
625,2,333,550,0.2664,275.0
626,5,484,756,0.154633,151.2
627,5,486,769,0.155024,153.8
629,5,681,1056,0.216534,211.2
630,5,729,1091,0.231429,218.2
631,9,1193,1697,0.210072,188.5556
632,4,495,777,0.195807,194.25
633,4,518,802,0.204581,200.5
634,6,719,1120,0.189012,186.6667
635,4,446,747,0.175591,186.75
636,4,453,767,0.178066,191.75
637,10,1228,1906,0.192779,190.6
638,5,337,548,0.105643,109.6
639,7,788,1245,0.176168,177.8571
640,6,659,964,0.171615,160.6667
641,8,1077,1689,0.210023,211.125
642,5,580,865,0.180685,173.0
643,6,626,950,0.16226,158.3333
644,5,783,1193,0.243168,238.6
645,2,268,388,0.207752,194.0
646,3,461,737,0.237874,245.6667
647,4,787,1079,0.304096,269.75
648,3,437,655,0.224794,218.3333
649,3,121,233,0.062147,77.6667
650,4,519,808,0.199615,202.0
651,4,279,467,0.107143,116.75
652,6,775,1121,0.198108,186.8333
653,4,405,585,0.155054,146.25
654,2,505,684,0.386086,342.0
655,4,310,531,0.118321,132.75
656,1,75,125,0.114329,125.0
657,3,469,725,0.23795,241.6667
658,5,452,693,0.137386,138.6
659,3,438,624,0.221548,208.0
660,7,846,1321,0.183117,188.7143
661,6,786,1088,0.198185,181.3333
662,2,151,225,0.114048,112.5
663,7,871,1276,0.187675,182.2857
664,3,351,547,0.176205,182.3333
665,3,428,616,0.214536,205.3333
666,4,326,621,0.122372,155.25
667,2,196,290,0.146927,145.0
668,4,631,882,0.236153,220.5
669,3,366,528,0.182362,176.0
670,5,277,467,0.082687,93.4
671,4,626,884,0.233234,221.0
672,6,614,875,0.152282,145.8333
673,4,729,1127,0.270802,281.75
674,2,471,642,0.349407,321.0
675,3,401,539,0.198025,179.6667
676,7,918,1539,0.193998,219.8571
678,3,285,543,0.140118,181.0
679,4,303,492,0.111561,123.0
680,1,92,163,0.135294,163.0
681,3,275,437,0.134606,145.6667
682,4,403,675,0.147727,168.75
683,2,199,316,0.145681,158.0
684,1,96,162,0.140351,162.0
685,3,418,616,0.203406,205.3333
686,4,565,858,0.205904,214.5
687,1,45,70,0.065502,70.0
688,1,88,136,0.127907,136.0
689,2,156,239,0.113208,119.5
691,1,203,301,0.293777,301.0
692,3,264,434,0.127168,144.6667
693,5,879,1270,0.25368,254.0
694,1,10,12,0.014409,12.0
695,4,943,1253,0.339209,313.25
696,5,797,1165,0.229023,233.0
697,5,576,895,0.16528,179.0
698,3,415,660,0.198185,220.0
699,1,332,455,0.474964,455.0
701,2,87,189,0.062054,94.5
703,1,122,197,0.173542,197.0
704,1,0,4,0.0,4.0
705,1,169,253,0.239716,253.0
706,2,317,509,0.224504,254.5
707,2,221,350,0.156294,175.0
708,2,65,101,0.045904,50.5
709,2,218,336,0.153738,168.0
710,3,528,817,0.247887,272.3333
711,3,603,870,0.2827,290.0
712,4,780,1142,0.273876,285.5
713,3,452,734,0.211314,244.6667
714,5,557,917,0.156022,183.4
715,6,963,1405,0.224476,234.1667
716,1,40,74,0.055866,74.0
717,1,214,320,0.298466,320.0
718,4,477,774,0.166086,193.5
719,1,264,372,0.367177,372.0
720,1,48,85,0.066667,85.0
721,2,164,290,0.113731,145.0
722,4,365,647,0.126385,161.75
723,1,108,211,0.149378,211.0
724,3,311,489,0.143186,163.0
725,3,321,534,0.147586,178.0
726,4,306,432,0.105372,108.0
727,1,151,250,0.207703,250.0
728,3,482,760,0.220696,253.3333
729,4,726,1047,0.248971,261.75
730,4,457,736,0.156507,184.0
